Pt1,Pd1,Fe1,Co1,Ni1,Cu1,Ru1,Rh1,Ag1,Au1,Pt2,Pd2,Fe2,Co2,Ni2,Cu2,Ru2,Rh2,Ag2,Au2,Pt3,Pd3,Fe3,Co3,Ni3,Cu3,Ru3,Rh3,Ag3,Au3,E_ads
0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.627949
0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.604849
0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,-0.696009
0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.446039
1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,-0.331669
0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-0.638799
0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,-0.517679
0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,-0.713779
0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,-0.500149
0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,-0.106459
0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,-0.392939
0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,-0.080179
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,-0.436229
1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,-0.219699
0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.739479
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,-0.214439
